,EntityName,Type,EntityCode,WikiLink,WikiDescrip,oneSentence,trustMetric,totalDocuments
4,Samsung,Technology,RuS83,https://en.wikipedia.org/wiki/Samsung,"The Samsung Group (or simply Samsung) is a South Korean multinational manufacturing conglomerate headquartered in Samsung Town, Seoul, South Korea. It comprises numerous affiliated businesses, most of them united under the Samsung brand, and is the largest South Korean chaebol (business conglomerate). As of 2020, Samsung has the eighth highest global brand value.","The Samsung Group (or simply Samsung) is a South Korean multinational manufacturing conglomerate headquartered in Samsung Town, Seoul, South Korea.","8,131","72,215,204"
56,Citi,Finance,e6Y,https://en.wikipedia.org/wiki/Citigroup,"Citigroup Inc. or Citi (stylized as citi) is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",Citigroup Inc. or Citi (stylized as citi) is an American multinational investment bank and financial services corporation headquartered in New York City.,"8,046","1,848,965"
78,Fedex,Shipping,Hak,https://en.wikipedia.org/wiki/FedEx,"FedEx Corporation, formerly Federal Express Corporation and later FDX Corporation, is an American multinational conglomerate holding company focused on transportation, e-commerce and business services based in Memphis, Tennessee. The name ""FedEx"" is a syllabic abbreviation of the name of the company's original air division, Federal Express, which was used from 1973 until 2000. FedEx today is best known for its air delivery service, FedEx Express, which was one of the first major shipping companies to offer overnight delivery as a flagship service. Since then, FedEx also started FedEx Ground, FedEx Office (originally known as Kinko's), FedEx Supply Chain, FedEx Freight, and various other services across multiple subsidiaries, often meant to respond to its main competitor, UPS.","FedEx Corporation, formerly Federal Express Corporation and later FDX Corporation, is an American multinational conglomerate holding company focused on transportation, e-commerce and business services based in Memphis, Tennessee.","7,769","4,979,902"
54,Siemens,Technology,SRH,https://en.wikipedia.org/wiki/Siemens,"Siemens AG is a German multinational conglomerate corporation and the largest industrial manufacturing company in Europe headquartered in Munich with branch offices abroad. The principal divisions of the corporation are Industry, Energy, Healthcare (Siemens Healthineers), and Infrastructure & Cities, which represent the main activities of the corporation. The corporation is a prominent maker of medical diagnostics equipment and its medical health-care division, which generates about 12 percent of the corporation's total sales, is its second-most profitable unit, after the industrial automation division.",Siemens AG is a German multinational conglomerate corporation and the largest industrial manufacturing company in Europe headquartered in Munich with branch offices abroad.,"7,345","4,101,507"
85,Huawei,Technology,5Gd1,https://en.wikipedia.org/wiki/Huawei,"Huawei Technologies Co., Ltd. is a Chinese multinational technology corporation headquartered in Shenzhen, Guangdong, China. It designs, develops, produces and sells telecommunications equipment, consumer electronics and various smart devices. The corporation was founded in 1987 by Ren Zhengfei, a former officer in the People's Liberation Army (PLA). Initially focused on manufacturing phone switches, Huawei has expanded its business to include building telecommunications networks, providing operational and consulting services and equipment to enterprises inside and outside of China, and manufacturing communications devices for the consumer market.","Huawei Technologies Co., Ltd. is a Chinese multinational technology corporation headquartered in Shenzhen, Guangdong, China.","7,314","17,394,146"
74,Ferrari,Automotive,3V2,https://en.wikipedia.org/wiki/Ferrari,"Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello, Italy. Founded by Enzo Ferrari (1898‚Äì1988) in 1939 from the Alfa Romeo racing division as Auto Avio Costruzioni, the company built its first car in 1940, and produced its first Ferrari-badged car in 1947. Fiat S.p.A. acquired 50% of Ferrari in 1969 and expanded its stake to 90% in 1988.","Ferrari S.p.A. is an Italian luxury sports car manufacturer based in Maranello, Italy.","7,131","60,001,857"
69,Spotify,Technology,hvxm1,https://en.wikipedia.org/wiki/Spotify,"Spotify is a proprietary Swedish audio streaming and media services provider founded on 23 April 2006 by Daniel Ek and Martin Lorentzon. It is one of the largest music streaming service providers, with over 456 million monthly active users, including 195 million paying subscribers, as of September 2022. Spotify is listed (through a Luxembourg City-domiciled holding company, Spotify Technology S.A.) on the New York Stock Exchange in the form of American depositary receipts.",Spotify is a proprietary Swedish audio streaming and media services provider founded on 23 April 2006 by Daniel Ek and Martin Lorentzon.,"6,980","902,370,943"
3,Google,Technology,NjA4,https://en.wikipedia.org/wiki/Google,"Google LLC is an American multinational technology company focusing on search engine technology, online advertising, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics. It has been referred to as ""the most powerful company in the world"" and one of the world's most valuable brands due to its market dominance, data collection, and technological advantages in the area of artificial intelligence. Its parent company Alphabet is considered one of the Big Five American information technology companies, alongside Amazon, Apple, Meta, and Microsoft.","Google LLC is an American multinational technology company focusing on search engine technology, online advertising, cloud computing, computer software, quantum computing, e-commerce, artificial intelligence, and consumer electronics.","6,907","16,726,594"
1,Microsoft,Technology,tW4,https://en.wikipedia.org/wiki/Microsoft,"Microsoft Corporation is an American multinational technology corporation producing computer software, consumer electronics, personal computers, and related services headquartered at the Microsoft Redmond campus located in Redmond, Washington, United States. Its best-known software products are the Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers.","Microsoft Corporation is an American multinational technology corporation producing computer software, consumer electronics, personal computers, and related services headquartered at the Microsoft Redmond campus located in Redmond, Washington, United States.","6,779","70,352,357"
94,Heineken,Food + Beverage,aX6k,https://en.wikipedia.org/wiki/Heineken,"Heineken Lager Beer, or simply Heineken is a pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.","Heineken Lager Beer, or simply Heineken is a pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.","6,756","6,996,773"
28,UPS,Shipping,bCR,https://en.wikipedia.org/wiki/United_Parcel_Service,"United Parcel Service (UPS, stylized as ups) is an American multinational shipping & receiving and supply chain management company founded in 1907. Originally known as the American Messenger Company specializing in telegraphs, UPS has grown to become a Fortune 500 company and one of the world's largest shipping couriers. UPS today is primarily known for its ground shipping services as well as the UPS Store, a retail chain which assists UPS shipments and provides tools for small businesses. In addition, UPS offers air shipping on an overnight or two-day basis and delivers to post office boxes through UPS SurePost, a subsidiary that passes on packages to the United States Postal Service for last-mile delivery.","United Parcel Service (UPS, stylized as ups) is an American multinational shipping & receiving and supply chain management company founded in 1907.","6,669","1,562,290"
95,Burberry,Fashion,Nvv4,https://en.wikipedia.org/wiki/Burberry,"Burberry is a British luxury fashion house established in 1856 by Thomas Burberry headquartered in London, England. It currently designs and distributes ready to wear, including trench coats (for which it is most famous), leather accessories, and footwear. Its name and branding are licensed to Coty for fragrances and cosmetics and to Luxottica for eyewear.","Burberry is a British luxury fashion house established in 1856 by Thomas Burberry headquartered in London, England.","6,593","10,861,836"
44,Nescafé,Food + Beverage,P73b,https://en.wikipedia.org/wiki/Nestl%C3%A9,"Nescafé is a brand of coffee made by Nestlé. It comes in many different forms. The name is a portmanteau of the words ""Nestlé"" and ""café"". Nestlé first introduced their flagship coffee brand in Switzerland on 1 April 1938.",Nescafé is a brand of coffee made by Nestlé.,"6,461","3,901,807"
92,Hennessy,Food + Beverage,CsB3,https://en.wikipedia.org/wiki/Hennessy,"Jas Hennessy & Co., commonly known simply as Hennessy, is a French producer of cognac, which has its headquarters in Cognac, France. It is one of the ""big four"" cognac houses,[1] along with Martell, Courvoisier, and Rémy Martin, who together make around 85% of the world's cognac. Hennessy sells approximately 70 million bottles of its cognacs per year, making it the world's largest cognac producer, and in 2017 its sales represented around 60% of the US cognac market. As well as distilling cognac eaux-de-vie itself, the company also acts as a negociant.","Jas Hennessy & Co., commonly known simply as Hennessy, is a French producer of cognac, which has its headquarters in Cognac, France.","6,381","5,911,060"
52,Porsche,Automotive,Zk6,https://en.wikipedia.org/wiki/Porsche,"Dr. Ing. h.c. F. Porsche AG, usually shortened to Porsche, is a German automobile manufacturer specializing in high-performance sports cars, SUVs and sedans, headquartered in Stuttgart, Germany. The company is owned by Volkswagen AG, a controlling stake of which is owned by Porsche Automobil Holding SE.","Dr. Ing. h.c. F. Porsche AG, usually shortened to Porsche, is a German automobile manufacturer specializing in high-performance sports cars, SUVs and sedans, headquartered in Stuttgart, Germany.","6,115","47,749,063"
24,YouTube,Technology,4XMe,https://en.wikipedia.org/wiki/YouTube,"YouTube is a global online video sharing and social media platform headquartered in San Bruno, California. It was launched on February 14, 2005, by Steve Chen, Chad Hurley, and Jawed Karim. It is owned by Google, and is the second most visited website, after Google Search.","YouTube is a global online video sharing and social media platform headquartered in San Bruno, California.","5,969","691,457,280"
27,Ikea,Consumer Goods,VP3,https://en.wikipedia.org/wiki/IKEA,"IKEA is a Swedish-Dutch multinational conglomerate based in the Netherlands that designs and sells ready-to-assemble furniture, kitchen appliances, decoration, home accessories, and various other goods and home services. Started in 1943 by Ingvar Kamprad, IKEA has been the world's largest furniture retailer since 2008. The brand used by the group is derived from an acronym that consists of the founder's initials, and those of Elmtaryd, the family farm where he was born, and the nearby village Agunnaryd (his hometown in Småland, southern Sweden).","IKEA is a Swedish-Dutch multinational conglomerate based in the Netherlands that designs and sells ready-to-assemble furniture, kitchen appliances, decoration, home accessories, and various other goods and home services.","5,833","10,533,133"
33,Allianz,Finance,8Fik1,https://en.wikipedia.org/wiki/Allianz,"Allianz is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management. The company is one of the world's largest insurers and financial services groups. The company is a component of the Euro Stoxx 50 stock market index.","Allianz is a German multinational financial services company headquartered in Munich, Germany.","5,770","4,805,130"
39,Netflix,Entertainment,fFJ,https://en.wikipedia.org/wiki/Netflix,"Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California. Founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California, it offers a film and television series library through distribution deals as well as its own productions, known as Netflix Originals. As of September 2022, Netflix had 222 million subscribers worldwide, including 73.3 million in the United States and Canada; 73.0 million in Europe, the Middle East and Africa, 39.6 million in Latin America and 34.8 million in the Asia-Pacific region.","Netflix, Inc. is an American subscription video on-demand over-the-top streaming service and production company based in Los Gatos, California.","5,729","549,878,044"
29,Gucci,Fashion,6Bx3,https://en.wikipedia.org/wiki/Gucci,"Gucci is an Italian high-end luxury fashion house based in Florence, Italy. Its product lines include handbags, ready-to-wear, footwear, accessories, and home decoration; and it licenses its name and branding to Coty, Inc. for fragrance and cosmetics under the name Gucci Beauty. Gucci was founded in 1921 by Guccio Gucci (1881‚Äì1953) in Florence, Tuscany.","Gucci is an Italian high-end luxury fashion house based in Florence, Italy.","5,663","20,663,246"
50,Starbucks,Food + Beverage,pvK,https://en.wikipedia.org/wiki/Starbucks,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It is the world's largest coffeehouse chain. As of November 2021, the company had 33,833 stores in 80 countries, 15,444 of which were located in the United States.","Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington.","5,602","87,101,237"
8,Disney,Entertainment,cJ9,https://en.wikipedia.org/wiki/The_Walt_Disney_Company,"The Walt Disney Company, commonly known as Disney, is an American multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California. Disney was originally founded on October 16, 1923, by brothers Walt and Roy O. Disney as the Disney Brothers Studio; it also operated under the names the Walt Disney Studio and Walt Disney Productions before changing its name to the Walt Disney Company in 1986. Early on, the company established itself as a leader in the animation industry, with the creation of the widely popular character Mickey Mouse, who is the company's mascot, and the start of animated films.","The Walt Disney Company, commonly known as Disney, is an American multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.","5,282","224,800,186"
66,Nestlé,Food + Beverage,jGF,https://en.wikipedia.org/wiki/Nestl%C3%A9,"Nestlé S.A. is a Swiss multinational food and drink processing conglomerate corporation headquartered in Vevey, Vaud, Switzerland. It is the largest publicly held food company in the world, measured by revenue and other metrics, since 2014. It ranked No. 64 on the Fortune Global 500 in 2017 and No. 33 in the 2016 edition of the Forbes Global 2000 list of largest public companies.","Nestlé S.A. is a Swiss multinational food and drink processing conglomerate corporation headquartered in Vevey, Vaud, Switzerland.","5,264","4,466,295"
59,eBay,Technology,LWx,https://en.wikipedia.org/wiki/Ebay,"eBay Inc. is an American multinational e-commerce company based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website. eBay was founded by Pierre Omidyar in 1995 and became a notable success story of the dot-com bubble. eBay is a multibillion-dollar business with operations in about 32 countries, as of 2019.","eBay Inc. is an American multinational e-commerce company based in San Jose, California, that facilitates consumer-to-consumer and business-to-consumer sales through its website.","5,174","93,903,435"
13,Louis Vuitton,Fashion,gRz3,https://en.wikipedia.org/wiki/Louis_Vuitton,"Louis Vuitton Malletier, commonly known as Louis Vuitton, is a French high-end luxury fashion house and company founded in 1854 by Louis Vuitton. The label's LV monogram appears on most of its products, ranging from luxury bags and leather goods to ready-to-wear, shoes, watches, jewelry, accessories, sunglasses and books. Louis Vuitton is one of the world's leading international fashion houses. It sells its products through standalone boutiques, lease departments in high-end departmental stores, and through the e-commerce section of its website.","Louis Vuitton Malletier, commonly known as Louis Vuitton, is a French high-end luxury fashion house and company founded in 1854 by Louis Vuitton.","4,806","33,719,696"
23,J.P. Morgan,Finance,P5Y,https://en.wikipedia.org/wiki/Chase_Bank,"J.P. Morgan & Co. is a commercial and investment banking institution founded by J. P. Morgan in 1871. Through a series of mergers and acquisitions, the company is now a subsidiary of JPMorgan Chase, one of the largest banking institutions in the world. The company is sometimes referred to as the ""House of Morgan"" or simply ""Morgan"".",J.P. Morgan & Co. is a commercial and investment banking institution founded by J. P. Morgan in 1871.,"4,350","3,030,401"
42,AXA,Finance,tMg5,https://en.wikipedia.org/wiki/Axa,"Axa S.A. is a French multinational insurance company. The head office is in the 8th arrondissement of Paris, France. It also provides investment management and other financial services. The Axa Group operates primarily in Western Europe, North America, the India Pacific region and the Middle East, with a presence also in Africa. Axa is a conglomerate of independently run businesses, operated according to the laws and regulations of many countries. It is a component of the Euro Stoxx 50 stock market index.",Axa S.A. is a French multinational insurance company.,"4,336","581,098"
72,Danone,Food + Beverage,teJ1,https://en.wikipedia.org/wiki/Danone,"Danone S.A. is a French multinational food-products corporation based in Paris. It was founded in Barcelona, Spain. It is listed on Euronext Paris where it is a component of the CAC 40 stock market index. Some of the company's products are branded Dannon in the United States.",Danone S.A. is a French multinational food-products corporation based in Paris.,"4,261","5,702,835"
76,Dior,Fashion,9Fv5,https://en.wikipedia.org/wiki/Dior,"Christian Dior SE, commonly known as Dior (stylized DIOR), is a French luxury fashion house controlled and chaired by French businessman Bernard Arnault, who also heads LVMH, the world's largest luxury group. Dior itself holds 42.36% shares of and 59.01% voting rights within LVMH. The company was founded in 1946 by French fashion designer Christian Dior, who was originally from Normandy.","Christian Dior SE, commonly known as Dior (stylized DIOR), is a French luxury fashion house controlled and chaired by French businessman Bernard Arnault, who also heads LVMH, the world's largest luxury group.","4,163","76,939,332"
32,GE,Technology,kj3,https://en.wikipedia.org/wiki/General_Electric,"General Electric Company (GE) is an American multinational conglomerate founded in 1892, and incorporated in New York state and headquartered in Boston. The company operated in sectors including healthcare, aviation, power, renewable energy, digital industry, additive manufacturing and venture capital and finance, but has since divested from several areas, now primarily consisting of the first four segments.","General Electric Company (GE) is an American multinational conglomerate founded in 1892, and incorporated in New York state and headquartered in Boston.","4,155","284,169"
11,Tesla,Automotive,7ydn,"https://en.wikipedia.org/wiki/Tesla,_Inc.","Tesla, Inc. is an American multinational automotive and clean energy company headquartered in Austin, Texas. Tesla designs and manufactures electric vehicles (electric cars and trucks), battery energy storage from home to grid-scale, solar panels and solar roof tiles, and related products and services. Tesla is one of the world's most valuable companies and remains the world's most valuable automaker with a market capitalization of more than US$550 billion. In 2021, the company had the most worldwide sales of battery electric vehicles and plug-in electric vehicles, capturing 21% of the battery-electric (purely electric) market and 14% of the plug-in market (which includes plug-in hybrids). Through its subsidiary Tesla Energy, the company develops and is a major installer of photovoltaic systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3.99 gigawatt-hours (GWh) installed in 2021.","Tesla, Inc. is an American multinational automotive and clean energy company headquartered in Austin, Texas.","4,147","99,330,350"
19,SAP,Technology,50a1,https://en.wikipedia.org/wiki/SAP,"SAP SE is a German multinational software company based in Walldorf, Baden-Württemberg. It develops enterprise software to manage business operations and customer relations. The company is the world's leading enterprise resource planning (ERP) software vendor. SAP is the largest non-American software company by revenue, the world's third-largest publicly traded software company by revenue, and the second largest German company by market capitalization. Apart from ERP software the company also sells database software and technology (particularly its own brands), cloud engineered systems, and other ERP software products, such as human capital management (HCM) software, customer relationship management (CRM) software (also known as customer experience), enterprise performance management (EPM) software, product lifecycle management (PLM) software, supplier relationship management (SRM) software, supply chain management (SCM) software, business technology platform (BTP) software and programming environment SAP AppGyver for business.","SAP SE is a German multinational software company based in Walldorf, Baden-Württemberg.","3,896","304,337"
10,McDonald's,Food + Beverage,7kpa,https://en.wikipedia.org/wiki/McDonald%27s,"McDonald's Corporation is an American multinational fast food chain, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. In 1955, Ray Kroc, a businessman, joined the company as a franchise agent and proceeded to purchase the chain from the McDonald brothers.","McDonald's Corporation is an American multinational fast food chain, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.","3,848","17,831,491"
79,Corona,Food + Beverage,Pqe6,https://en.wikipedia.org/wiki/Corona_(beer),Corona is a brand of beer produced by Mexican brewery Cervecería Modelo and owned by Belgian company AB InBev. It is the top-selling brand of imported beer in the United States. It is often served with a wedge of lime or lemon in the neck of the bottle to add tartness and flavor. The recipe for the mash bill includes corn as well as the barley malt and hops traditionally used for making beer.,Corona is a brand of beer produced by Mexican brewery Cervecería Modelo and owned by Belgian company AB InBev.,"3,759","176,748"
48,Goldman Sachs,Finance,adp1,https://en.wikipedia.org/wiki/Goldman_Sachs,"Goldman Sachs is an American multinational investment bank and financial services company. Founded in 1869, Goldman Sachs is headquartered at 200 West Street in Lower Manhattan, with regional headquarters in London, Warsaw, Bangalore, Hong Kong, Tokyo, Dallas and Salt Lake City, and additional offices in other international financial centers. Goldman Sachs is the second largest investment bank in the world by revenue and is ranked 57th on the Fortune 500 list of the largest United States corporations by total revenue.",Goldman Sachs is an American multinational investment bank and financial services company.,"3,539","8,972,351"
65,Morgan Stanley,Finance,Klj,https://en.wikipedia.org/wiki/HSBC,"Morgan Stanley is an American multinational investment management and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City. With offices in more than 41 countries and more than 75,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No.","Morgan Stanley is an American multinational investment management and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City.","3,292","5,111,771"
88,Prada,Fashion,N3V2,https://en.wikipedia.org/wiki/Prada,"Prada S.p.A. is an Italian luxury fashion house founded in 1913 in Milan by Mario Prada. It specializes in leather handbags, travel accessories, shoes, ready-to-wear, and other fashion accessories. Prada licenses its name and branding to Luxottica for eyewear and L’Oréal for fragrances.",Prada S.p.A. is an Italian luxury fashion house founded in 1913 in Milan by Mario Prada.,"2,927","45,808,331"
86,Kia,Automotive,U2R,https://en.wikipedia.org/wiki/Kia,"Kia Corporation, commonly known as Kia; formerly known as Kyungsung Precision Industry and Kia Motors Corporation), is a South Korean multinational automobile manufacturer headquartered in Seoul, South Korea. It is South Korea's second largest automobile manufacturer, after its parent company, Hyundai Motor Company, with sales of over 2.8 million vehicles in 2019. As of 2015, the Kia Corporation is minority owned by Hyundai, which holds a 33.88% stake valued at just over US$6 billion. Kia in turn is a minority owner of more than twenty Hyundai subsidiaries ranging from 4.9% up to 45.37%, totaling more than US$8.3 billion.","Kia Corporation, commonly known as Kia; formerly known as Kyungsung Precision Industry and Kia Motors Corporation), is a South Korean multinational automobile manufacturer headquartered in Seoul, South Korea.","2,884","266,085"
55,H&M,Fashion,7JCA,https://en.wikipedia.org/wiki/H%26M,"H & M Hennes & Mauritz AB or H&M Group (abbreviated H&M) is a multinational clothing company based in Sweden that focuses on fast-fashion clothing for men, women, teenagers, and children. As of 23 June 2022, H&M Group operates in 75 geographical markets with 4,801 stores under the various company brands, with 107,375 full-time equivalent positions.","H & M Hennes & Mauritz AB or H&M Group (abbreviated H&M) is a multinational clothing company based in Sweden that focuses on fast-fashion clothing for men, women, teenagers, and children.","2,811","102,407"
46,Zara,Fashion,zjz4,https://en.wikipedia.org/wiki/Zara_(retailer),"ZARA is a Spanish multi-national retail clothing chain. It specialises in fast fashion, and sells clothing, accessories, shoes, beauty products and perfumes. The head office is in Arteixo, in A Coruña in Galicia. It is the largest constituent company of the Inditex group. In 2020 it was launching over twenty new product lines per year.",ZARA is a Spanish multi-national retail clothing chain.,"2,754","246,193"
51,Pampers,Consumer Goods,9tO4,https://en.wikipedia.org/wiki/Pampers,Pampers is a brand of baby and toddler products marketed by Procter & Gamble.,Pampers is a brand of baby and toddler products marketed by Procter & Gamble.,"2,547","578,263"
34,Hyundai,Automotive,zZa,https://en.wikipedia.org/wiki/Hyundai_Motor_Company,"Hyundai Motor Company, often abbreviated to Hyundai Motors and commonly known as Hyundai, is a South Korean multinational automotive manufacturer headquartered in Seoul, South Korea, and founded in 1967. Currently, the company owns 33.88 percent of Kia Corporation, and also fully owns two marques including its luxury cars subsidiary, Genesis Motor, and an electric vehicle sub-brand, Ioniq. Those three brands altogether comprise the Hyundai Motor Group.","Hyundai Motor Company, often abbreviated to Hyundai Motors and commonly known as Hyundai, is a South Korean multinational automotive manufacturer headquartered in Seoul, South Korea, and founded in 1967.","2,399","2,078,434"
21,Chanel,Fashion,1X43,https://en.wikipedia.org/wiki/Chanel,"Chanel is a French high-end luxury fashion house founded in 1910 by Coco Chanel in Paris. Chanel specializes in women's ready-to-wear, luxury goods, and accessories and licenses its name and branding to Luxottica for eyewear. Chanel is well known for its No. 5 perfume and ""Chanel Suit"". Chanel is credited for revolutionizing haute couture and ready-to-wear by replacing structured, corseted silhouettes with more functional garments that women still found flattering.",Chanel is a French high-end luxury fashion house founded in 1910 by Coco Chanel in Paris.,"2,034","232,733"
73,Cartier,Fashion,cbf7,https://en.wikipedia.org/wiki/Cartier_(jeweler),"Cartier International SNC, or simply Cartier, is a French high-end luxury goods conglomerate that designs, manufactures, distributes, and sells jewellery, leather goods, and watches. Founded by Louis-François Cartier (1819–1904) in Paris in 1847, the company remained under family control until 1964. The company is headquartered in Paris and is a wholly owned subsidiary of the Swiss Richemont Group. Cartier operates more than 200 stores in 125 countries, with three Temples (Historical Maisons) in London, New York, and Paris.","Cartier International SNC, or simply Cartier, is a French high-end luxury goods conglomerate that designs, manufactures, distributes, and sells jewellery, leather goods, and watches.","1,767","815,755"
22,Hermès,Fashion,7Iq8,https://en.wikipedia.org/wiki/Herm%C3%A8s,"Hermès International S.A., or simply Hermès, is a French luxury design house established in 1837. It specializes in leather goods, lifestyle accessories, home furnishings, perfumery, jewelry, watches and ready-to-wear. Its logo, since the 1950s, is of a Duke carriage with horse.","Hermès International S.A., or simply Hermès, is a French luxury design house established in 1837.","1,485","67,580"
75,Santander,Finance,vimn,https://en.wikipedia.org/wiki/Santander_Bank,"Santander Bank, N. A., formerly Sovereign Bank, is a wholly owned subsidiary of the Spanish Santander Group. It is based in Boston and its principal market is the northeastern United States. It has $57.5 billion in deposits, operates about 650 retail banking offices and over 2,000 ATMs, and employs approximately 9,800 people. It offers an array of financial services and products including retail banking, mortgages, corporate banking, cash management, credit card, capital markets, trust and wealth management, and insurance.","Santander Bank, N. A., formerly Sovereign Bank, is a wholly owned subsidiary of the Spanish Santander Group.","1,341","49,407"
31,Pepsi,Food + Beverage,lo6,https://en.wikipedia.org/wiki/Pepsi,"PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo's business encompasses all aspects of the food and beverage market. It oversees the manufacturing, distribution, and marketing of its products. PepsiCo was formed in 1965 with the merger of the Pepsi-Cola Company and Frito-Lay, Inc. PepsiCo has since expanded from its namesake product Pepsi Cola to an immensely diversified range of food and beverage brands. The largest and most recent acquisition was Pioneer Foods in 2020 for US$1.7 billion and prior to it was buying the Quaker Oats Company in 2001, which added the Gatorade brand to the Pepsi portfolio and Tropicana Products in 1998.","PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase.",643,"363,659"
87,Tiffany & Co.,Fashion,K7j,https://en.wikipedia.org/wiki/Tiffany_%26_Co.,"Tiffany & Co. (colloquially known as Tiffany's) is a high-end luxury jewelry and specialty retailer, headquartered on Fifth Avenue in Manhattan. It sells jewelry, sterling silver, porcelain, crystal, stationery, fragrances, water bottles, watches, personal accessories, and leather goods. Tiffany is known for its luxury goods, particularly its diamond and sterling silver jewelry.","Tiffany & Co. (colloquially known as Tiffany's) is a high-end luxury jewelry and specialty retailer, headquartered on Fifth Avenue in Manhattan.",638,"98,451"
71,Colgate,Consumer Goods,c4YG,https://en.wikipedia.org/wiki/Colgate_(toothpaste),"Colgate is an American brand principally used for oral hygiene products such as toothpastes, toothbrushes, mouthwashes and dental floss. Manufactured by Colgate-Palmolive, Colgate's oral hygiene products were first sold by the company in 1873, sixteen years after the death of the founder, William Colgate. The company originally sold soap.","Colgate is an American brand principally used for oral hygiene products such as toothpastes, toothbrushes, mouthwashes and dental floss.",122,"29,470"
64,HSBC,Finance,C6be,https://en.wikipedia.org/wiki/HSBC,"HSBC Holdings plc is a British multinational universal bank and financial services holding company. It is the largest bank in Europe by total assets ahead of BNP Paribas, with US$2.953 trillion as of December 2021. In 2021, HSBC had $10.8 trillion in assets under custody (AUC) and $4.9 trillion in assets under administration (AUA), respectively. HSBC traces its origin to a hong in British Hong Kong, and its present form was established in London by the Hongkong and Shanghai Banking Corporation to act as a new group holding company in 1991; its name derives from that company's initials. The Hongkong and Shanghai Banking Corporation opened branches in Shanghai in 1865 and was first formally incorporated in 1866.",HSBC Holdings plc is a British multinational universal bank and financial services holding company.,104,"13,701"
